"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 19:04:28 EEST 2022","Fri Oct 28 19:04:28 EEST 2022","47","","Telnyx main page test","","Telnyx main page test","should detect if the footer is visible","should detect if the footer is visible",""
"failed","Sat Oct 29 01:07:42 EEST 2022","Sat Oct 29 01:07:43 EEST 2022","1144","","Telnyx header test","","Telnyx header test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"passed","Sat Oct 29 01:07:22 EEST 2022","Sat Oct 29 01:07:23 EEST 2022","1085","","Telnyx Login page test","","Telnyx Login page test","Checks if the ""Telnyx"" logo button refreshes the page.","Checks if the ""Telnyx"" logo button refreshes the page.",""
"passed","Fri Oct 28 19:04:34 EEST 2022","Fri Oct 28 19:04:35 EEST 2022","227","","Telnyx header test","","Telnyx header test","should detect if the menu section is visible","should detect if the menu section is visible",""
"passed","Sat Oct 29 01:07:33 EEST 2022","Sat Oct 29 01:07:33 EEST 2022","75","","Telnyx main page test","","Telnyx main page test","should detect if the LinkedIn link is clickable","should detect if the LinkedIn link is clickable",""
"broken","Thu Oct 27 18:20:08 EEST 2022","Thu Oct 27 18:20:35 EEST 2022","26592","","Telnyx main page test","","Telnyx main page test","should login with valid credentials","should login with valid credentials",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the Call Us buttom is visible","should detect if the Call Us buttom is visible",""
"passed","Fri Oct 28 13:27:31 EEST 2022","Fri Oct 28 13:27:33 EEST 2022","2608","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo botton returns to the main page.","Checks if ""Telnyx"" logo botton returns to the main page.",""
"skipped","Fri Oct 28 19:01:57 EEST 2022","Fri Oct 28 19:01:57 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo button returns to the main page.","Checks if ""Telnyx"" logo button returns to the main page.",""
"passed","Fri Oct 28 17:33:17 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","109","","Telnyx main page test","","Telnyx main page test","should detect if the Support Center link is visible","should detect if the Support Center link is visible",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect the focus of the Network section","should detect the focus of the Network section",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the Call Us buttom is visible","should detect if the Call Us buttom is visible",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect the focus of the Network section","should detect the focus of the Network section",""
"passed","Sat Oct 29 01:07:48 EEST 2022","Sat Oct 29 01:07:48 EEST 2022","22","","Telnyx header test","","Telnyx header test","should detect if the Support Center link is visible","should detect if the Support Center link is visible",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect the focus of the Products section","should detect the focus of the Products section",""
"passed","Sat Oct 29 01:07:32 EEST 2022","Sat Oct 29 01:07:32 EEST 2022","50","","Telnyx main page test","","Telnyx main page test","should detect if the footer is visible","should detect if the footer is visible",""
"passed","Fri Oct 28 19:04:35 EEST 2022","Fri Oct 28 19:04:36 EEST 2022","19","","Telnyx header test","","Telnyx header test","should detect if the Sign up button is clickable","should detect if the Sign up button is clickable",""
"passed","Sat Oct 29 01:07:47 EEST 2022","Sat Oct 29 01:07:48 EEST 2022","1263","","Telnyx header test","","Telnyx header test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
"passed","Fri Oct 28 19:04:36 EEST 2022","Fri Oct 28 19:04:36 EEST 2022","22","","Telnyx header test","","Telnyx header test","should detect if the Support Center link is visible","should detect if the Support Center link is visible",""
"passed","Sat Oct 29 01:07:45 EEST 2022","Sat Oct 29 01:07:46 EEST 2022","1233","","Telnyx header test","","Telnyx header test","should detect the focus of the Network section","should detect the focus of the Network section",""
"passed","Sat Oct 29 01:07:32 EEST 2022","Sat Oct 29 01:07:32 EEST 2022","66","","Telnyx main page test","","Telnyx main page test","should detect if the header menu is visible","should detect if the header menu is visible",""
"passed","Sat Oct 29 01:07:46 EEST 2022","Sat Oct 29 01:07:47 EEST 2022","778","","Telnyx header test","","Telnyx header test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"passed","Sat Oct 29 01:07:45 EEST 2022","Sat Oct 29 01:07:45 EEST 2022","184","","Telnyx header test","","Telnyx header test","should detect the focus of the Products section","should detect the focus of the Products section",""
"passed","Sat Oct 29 01:07:44 EEST 2022","Sat Oct 29 01:07:44 EEST 2022","254","","Telnyx header test","","Telnyx header test","should detect if the Sign up button is clickable","should detect if the Sign up button is clickable",""
"passed","Fri Oct 28 19:04:41 EEST 2022","Fri Oct 28 19:04:41 EEST 2022","20","","Telnyx main page test","","Telnyx main page test","Checks if main page is on a specific page.","Checks if main page is on a specific page.",""
"skipped","Fri Oct 28 18:19:22 EEST 2022","Fri Oct 28 18:19:22 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","should detect if the menu section is visible","should detect if the menu section is visible",""
